n,grid,goals,static,visit_order,BFS_steps
2,  0 1\n0 S 1\n1 2 3,"{1: (0, 1), 2: (1, 0), 3: (1, 1)}",[],"[(0, 0), (0, 1), (0, 0), (1, 0), (1, 1)]",4
2,  0 1\n0 S 2\n1 1 3,"{1: (1, 0), 2: (0, 1), 3: (1, 1)}",[],"[(0, 0), (1, 0), (0, 0), (0, 1), (1, 1)]",4
2,  0 1\n0 S 1\n1 3 2,"{1: (0, 1), 2: (1, 1), 3: (1, 0)}",[],"[(0, 0), (0, 1), (1, 1), (1, 0)]",3
2,  0 1\n0 S 3\n1 1 2,"{1: (1, 0), 2: (1, 1), 3: (0, 1)}",[],"[(0, 0), (1, 0), (1, 1), (0, 1)]",3
3,  0 1 2\n0 S . .\n1 . 1 .\n2 3 2 .,"{1: (1, 1), 2: (2, 1), 3: (2, 0)}",[],"[(0, 0), (1, 0), (1, 1), (2, 1), (2, 0)]",4
3,  0 1 2\n0 S . 1\n1 . 2 3\n2 . . .,"{1: (0, 2), 2: (1, 1), 3: (1, 2)}",[],"[(0, 0), (0, 1), (0, 2), (0, 1), (1, 1), (1, 2)]",5
3,  0 1 2\n0 S . 3\n1 . . .\n2 . 1 2,"{1: (2, 1), 2: (2, 2), 3: (0, 2)}",[],"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (1, 2), (0, 2)]",6
3,  0 1 2\n0 S . .\n1 . 3 .\n2 2 . 1,"{1: (2, 2), 2: (2, 0), 3: (1, 1)}",[],"[(0, 0), (0, 1), (0, 2), (1, 2), (2, 2), (2, 1), (2, 0), (1, 0), (1, 1)]",8
3,  0 1 2\n0 S 1 .\n1 . . .\n2 . 2 3,"{1: (0, 1), 2: (2, 1), 3: (2, 2)}",[],"[(0, 0), (0, 1), (1, 1), (2, 1), (2, 2)]",4
3,  0 1 2\n0 S 2 .\n1 . . 3\n2 . . 1,"{1: (2, 2), 2: (0, 1), 3: (1, 2)}",[],"[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 1), (1, 1), (0, 1), (1, 1), (1, 2)]",9
3,  0 1 2\n0 S 3 2\n1 1 . .\n2 . . .,"{1: (1, 0), 2: (0, 2), 3: (0, 1)}",[],"[(0, 0), (1, 0), (1, 1), (1, 2), (0, 2), (0, 1)]",5
3,  0 1 2\n0 S . .\n1 . . .\n2 3 2 1,"{1: (2, 2), 2: (2, 1), 3: (2, 0)}",[],"[(0, 0), (1, 0), (1, 1), (1, 2), (2, 2), (2, 1), (2, 0)]",6
3,  0 1 2\n0 S 1 .\n1 3 . .\n2 . 2 .,"{1: (0, 1), 2: (2, 1), 3: (1, 0)}",[],"[(0, 0), (0, 1), (1, 1), (2, 1), (1, 1), (1, 0)]",5
3,  0 1 2\n0 S . .\n1 . 1 .\n2 3 . 2,"{1: (1, 1), 2: (2, 2), 3: (2, 0)}",[],"[(0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (2, 1), (2, 0)]",6
3,  0 1 2\n0 S . 1\n1 . . 2\n2 . . 3,"{1: (0, 2), 2: (1, 2), 3: (2, 2)}",[],"[(0, 0), (0, 1), (0, 2), (1, 2), (2, 2)]",4
3,  0 1 2\n0 S . .\n1 . 2 .\n2 . 1 3,"{1: (2, 1), 2: (1, 1), 3: (2, 2)}",[],"[(0, 0), (1, 0), (2, 0), (2, 1), (1, 1), (2, 1), (2, 2)]",6
4,  0 1 2 3\n0 S . 1 .\n1 . . . .\n2 . 3 . .\n3 . X . 2,"{1: (0, 2), 2: (3, 3), 3: (2, 1)}","[(3, 1)]","[(0, 0), (0, 1), (0, 2), (1, 2), (2, 2), (3, 2), (3, 3), (2, 3), (2, 2), (2, 1)]",9
4,  0 1 2 3\n0 S . . .\n1 . . . X\n2 . 1 . 3\n3 2 . . .,"{1: (2, 1), 2: (3, 0), 3: (2, 3)}","[(1, 3)]","[(0, 0), (1, 0), (2, 0), (2, 1), (3, 1), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3)]",9
4,  0 1 2 3\n0 S . 1 .\n1 . . . .\n2 X . 2 .\n3 . 3 . .,"{1: (0, 2), 2: (2, 2), 3: (3, 1)}","[(2, 0)]","[(0, 0), (0, 1), (0, 2), (1, 2), (2, 2), (3, 2), (3, 1)]",6
4,  0 1 2 3\n0 S . 3 2\n1 . . . .\n2 . . 1 .\n3 X . . .,"{1: (2, 2), 2: (0, 3), 3: (0, 2)}","[(3, 0)]","[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (1, 2), (1, 3), (0, 3), (0, 2)]",8
4,  0 1 2 3\n0 S 2 . .\n1 . 1 . X\n2 3 . . .\n3 . . . .,"{1: (1, 1), 2: (0, 1), 3: (2, 0)}","[(1, 3)]","[(0, 0), (1, 0), (1, 1), (0, 1), (1, 1), (2, 1), (2, 0)]",6
4,  0 1 2 3\n0 S . . .\n1 . . . .\n2 3 2 X .\n3 . 1 . .,"{1: (3, 1), 2: (2, 1), 3: (2, 0)}","[(2, 2)]","[(0, 0), (1, 0), (1, 1), (1, 2), (1, 3), (2, 3), (3, 3), (3, 2), (3, 1), (2, 1), (2, 0)]",10
4,  0 1 2 3\n0 S X . .\n1 . 3 . .\n2 . . 2 .\n3 . 1 . .,"{1: (3, 1), 2: (2, 2), 3: (1, 1)}","[(0, 1)]","[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (2, 1), (2, 2), (1, 2), (1, 1)]",8
4,  0 1 2 3\n0 S 2 . .\n1 . 3 . X\n2 . . X .\n3 . . . 1,"{1: (3, 3), 2: (0, 1), 3: (1, 1)}","[(2, 2), (1, 3)]","[(0, 0), (1, 0), (2, 0), (3, 0), (3, 1), (3, 2), (3, 3), (3, 2), (3, 1), (2, 1), (2, 0), (1, 0), (0, 0), (0, 1), (1, 1)]",14
4,  0 1 2 3\n0 S 3 . 1\n1 . . . .\n2 . 2 X .\n3 X . . .,"{1: (0, 3), 2: (2, 1), 3: (0, 1)}","[(2, 2), (3, 0)]","[(0, 0), (1, 0), (1, 1), (1, 2), (0, 2), (0, 3), (1, 3), (1, 2), (1, 1), (2, 1), (1, 1), (0, 1)]",11
4,  0 1 2 3\n0 S 1 2 .\n1 3 . X X\n2 . . . .\n3 . . . .,"{1: (0, 1), 2: (0, 2), 3: (1, 0)}","[(1, 2), (1, 3)]","[(0, 0), (0, 1), (0, 2), (0, 1), (1, 1), (1, 0)]",5
4,  0 1 2 3\n0 S . . .\n1 . 3 . 2\n2 . . 1 .\n3 X . X .,"{1: (2, 2), 2: (1, 3), 3: (1, 1)}","[(3, 0), (3, 2)]","[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (1, 2), (1, 3), (1, 2), (1, 1)]",8
4,  0 1 2 3\n0 S . X 3\n1 . . . .\n2 2 . 1 .\n3 . . . .,"{1: (2, 2), 2: (2, 0), 3: (0, 3)}","[(0, 2)]","[(0, 0), (1, 0), (1, 1), (2, 1), (2, 2), (2, 1), (2, 0), (1, 0), (1, 1), (1, 2), (1, 3), (0, 3)]",11
5,  0 1 2 3 4\n0 S 3 . X .\n1 . . 1 X .\n2 . . . . X\n3 . . . . 2\n4 . . . . .,"{1: (1, 2), 2: (3, 4), 3: (0, 1)}","[(2, 4), (1, 3), (0, 3)]","[(0, 0), (1, 0), (1, 1), (1, 2), (2, 2), (3, 2), (3, 3), (3, 4), (3, 3), (2, 3), (2, 2), (1, 2), (0, 2), (0, 1)]",13
5,  0 1 2 3 4\n0 S . . . .\n1 . X . . X\n2 . . . . .\n3 1 X . 3 .\n4 . . . X 2,"{1: (3, 0), 2: (4, 4), 3: (3, 3)}","[(1, 4), (3, 1), (4, 3), (1, 1)]","[(0, 0), (1, 0), (2, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (3, 4), (4, 4), (3, 4), (3, 3)]",12
5,  0 1 2 3 4\n0 S . . X .\n1 . 2 . . .\n2 X . . . .\n3 . X 1 . .\n4 . . X 3 .,"{1: (3, 2), 2: (1, 1), 3: (4, 3)}","[(3, 1), (0, 3), (2, 0), (4, 2)]","[(0, 0), (0, 1), (0, 2), (1, 2), (2, 2), (3, 2), (2, 2), (1, 2), (1, 1), (2, 1), (2, 2), (3, 2), (3, 3), (4, 3)]",13
5,  0 1 2 3 4\n0 S . . . .\n1 2 . . X .\n2 . . . 3 1\n3 . . . . .\n4 . . . . X,"{1: (2, 4), 2: (1, 0), 3: (2, 3)}","[(4, 4), (1, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 4), (1, 4), (2, 4), (1, 4), (0, 4), (0, 3), (0, 2), (1, 2), (1, 1), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3)]",17
5,  0 1 2 3 4\n0 S . . . .\n1 3 . . . 1\n2 . . . . .\n3 2 . . . X\n4 . X . . .,"{1: (1, 4), 2: (3, 0), 3: (1, 0)}","[(3, 4), (4, 1)]","[(0, 0), (0, 1), (1, 1), (1, 2), (1, 3), (1, 4), (2, 4), (2, 3), (3, 3), (3, 2), (3, 1), (3, 0), (2, 0), (1, 0)]",13
5,  0 1 2 3 4\n0 S . . . .\n1 . . . . .\n2 X 1 X . X\n3 . . . . .\n4 . 2 . . 3,"{1: (2, 1), 2: (4, 1), 3: (4, 4)}","[(2, 4), (2, 0), (2, 2)]","[(0, 0), (1, 0), (1, 1), (2, 1), (3, 1), (4, 1), (4, 2), (4, 3), (4, 4)]",8
5,  0 1 2 3 4\n0 S . X X .\n1 . . 1 . .\n2 . . 2 X .\n3 . . . . .\n4 3 . . X .,"{1: (1, 2), 2: (2, 2), 3: (4, 0)}","[(4, 3), (2, 3), (0, 2), (0, 3)]","[(0, 0), (1, 0), (1, 1), (1, 2), (2, 2), (3, 2), (4, 2), (4, 1), (4, 0)]",8
5,  0 1 2 3 4\n0 S . . . .\n1 . . 3 . X\n2 . . . . 1\n3 2 . X . .\n4 . . . X .,"{1: (2, 4), 2: (3, 0), 3: (1, 2)}","[(3, 2), (1, 4), (4, 3)]","[(0, 0), (1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (2, 3), (2, 2), (2, 1), (3, 1), (3, 0), (2, 0), (1, 0), (1, 1), (1, 2)]",15
5,  0 1 2 3 4\n0 S . . 1 .\n1 . . X X .\n2 . . . 3 .\n3 . . . . .\n4 2 . . . .,"{1: (0, 3), 2: (4, 0), 3: (2, 3)}","[(1, 2), (1, 3)]","[(0, 0), (0, 1), (0, 2), (0, 3), (0, 2), (0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (4, 0), (3, 0), (2, 0), (2, 1), (2, 2), (2, 3)]",15
