n,grid,goals,static,moving,BFS_steps
2,  0 1\n0 S 1\n1 3 2,"{1: (0, 1), 2: (1, 1), 3: (1, 0)}",[],[],3
2,  0 1\n0 S 1\n1 2 3,"{1: (0, 1), 2: (1, 0), 3: (1, 1)}",[],[],4
2,  0 1\n0 S 3\n1 1 2,"{1: (1, 0), 2: (1, 1), 3: (0, 1)}",[],[],3
3,  0 1 2\n0 S 2 .\n1 . . .\n2 1 3 .,"{1: (2, 0), 2: (0, 1), 3: (2, 1)}",[],[],7
3,  0 1 2\n0 S 1 .\n1 . 3 .\n2 2 . .,"{1: (0, 1), 2: (2, 0), 3: (1, 1)}",[],[],6
3,  0 1 2\n0 S . 3\n1 . . 2\n2 1 . .,"{1: (2, 0), 2: (1, 2), 3: (0, 2)}",[],[],6
4,  0 1 2 3\n0 S X . .\n1 . . . X\n2 . M . 2\n3 1 M 3 .,"{1: (3, 0), 2: (2, 3), 3: (3, 2)}","[(1, 3), (0, 1)]","[(3, 1), (2, 1)]",9
4,  0 1 2 3\n0 S . . .\n1 . X . 1\n2 M M 2 .\n3 . X . 3,"{1: (1, 3), 2: (2, 2), 3: (3, 3)}","[(3, 1), (1, 1)]","[(2, 1), (2, 0)]",8
5,  0 1 2 3 4\n0 S . . . .\n1 . X . . 3\n2 . . . . X\n3 1 . 2 M M\n4 . . X M M,"{1: (3, 0), 2: (3, 2), 3: (1, 4)}","[(2, 4), (4, 2), (1, 1)]","[(4, 3), (3, 3), (3, 4), (4, 4)]",9
5,  0 1 2 3 4\n0 S . . . .\n1 . . . 3 .\n2 2 . 1 . .\n3 M M M X .\n4 . . . . .,"{1: (2, 2), 2: (2, 0), 3: (1, 3)}","[(3, 3)]","[(3, 0), (3, 1), (3, 2)]",10
6,  0 1 2 3 4 5\n0 S . . . . 3\n1 . . . . . X\n2 . X . 2 1 .\n3 M M . . . .\n4 M M . . X .\n5 . . X . . .,"{1: (2, 4), 2: (2, 3), 3: (0, 5)}","[(2, 1), (5, 2), (4, 4), (1, 5)]","[(3, 1), (3, 0), (4, 0), (4, 1)]",11
6,  0 1 2 3 4 5\n0 S . . . 1 .\n1 . 2 . . . .\n2 X . . M M .\n3 . X . . . .\n4 . X 3 . . .\n5 . . X . . .,"{1: (0, 4), 2: (1, 1), 3: (4, 2)}","[(2, 0), (3, 1), (4, 1), (5, 2)]","[(2, 4), (2, 3)]",12
7,  0 1 2 3 4 5 6\n0 S . . . . . .\n1 X X . . . . .\n2 . . X 3 . . .\n3 X . . . . . .\n4 . . . X 2 1 X\n5 X X . X X X X\n6 M M . . . X .,"{1: (4, 5), 2: (4, 4), 3: (2, 3)}","[(1, 1), (4, 3), (3, 0), (5, 5), (5, 4), (5, 1), (1, 0), (2, 2), (5, 6), (5, 3), (4, 6), (6, 5), (5, 0)]","[(6, 0), (6, 1)]",13
7,  0 1 2 3 4 5 6\n0 S . . . . . X\n1 . X M M . . .\n2 . M M . . X .\n3 . 1 . . X . 2\n4 . . . . . . .\n5 . . X . . . .\n6 . 3 . . . . X,"{1: (3, 1), 2: (3, 6), 3: (6, 1)}","[(3, 4), (5, 2), (2, 5), (6, 6), (1, 1), (0, 6)]","[(2, 1), (2, 2), (1, 2), (1, 3)]",19
8,  0 1 2 3 4 5 6 7\n0 S . . . X . . .\n1 . . . . . . . .\n2 X X . . . . . .\n3 . . . . . . . .\n4 . M M 3 . . . .\n5 . . . . . . . .\n6 . . X X 2 . . .\n7 X . . . 1 . . .,"{1: (7, 4), 2: (6, 4), 3: (4, 3)}","[(0, 4), (2, 1), (2, 0), (7, 0), (6, 3), (6, 2)]","[(4, 2), (4, 1)]",17
8,  0 1 2 3 4 5 6 7\n0 S . . X . . . X\n1 X . 3 X . X . .\n2 . . X . X . X .\n3 . 1 X . X M M X\n4 . . . . . M . .\n5 . X . . X 2 . .\n6 . . . . . . X .\n7 X . . . . . . X,"{1: (3, 1), 2: (5, 5), 3: (1, 2)}","[(5, 4), (3, 2), (7, 0), (2, 2), (2, 6), (1, 3), (6, 6), (5, 1), (3, 7), (1, 5), (1, 0), (0, 3), (0, 7), (3, 4), (7, 7), (2, 4)]","[(3, 6), (3, 5), (4, 5)]",19
9,  0 1 2 3 4 5 6 7 8\n0 S . . X . X . X X\n1 . . . 1 . . . . .\n2 X . . . X X . . X\n3 . . . . . . . X .\n4 2 X . X . . X X .\n5 . . . . . X M X .\n6 . . X . 3 X M M M\n7 . X . . . . . X .\n8 . . X X . . . . .,"{1: (1, 3), 2: (4, 0), 3: (6, 4)}","[(6, 2), (7, 1), (3, 7), (5, 5), (0, 3), (4, 7), (6, 5), (8, 2), (2, 5), (4, 3), (0, 5), (2, 4), (5, 7), (2, 8), (2, 0), (4, 6), (4, 1), (7, 7), (0, 7), (8, 3), (0, 8)]","[(5, 6), (6, 6), (6, 7), (6, 8)]",16
9,  0 1 2 3 4 5 6 7 8\n0 S 2 . . X X . . .\n1 . X . . X . X . .\n2 . . . . X X X . .\n3 X . X X . . . . X\n4 . . . X . . . . X\n5 . . . . . X X . .\n6 . X . . . X X . .\n7 . X . 1 . . . 3 M\n8 . . . X . X . X M,"{1: (7, 3), 2: (0, 1), 3: (7, 7)}","[(7, 1), (6, 6), (8, 3), (3, 2), (3, 8), (0, 5), (2, 4), (6, 1), (2, 6), (4, 8), (5, 5), (3, 3), (4, 3), (8, 5), (1, 4), (6, 5), (5, 6), (2, 5), (3, 0), (8, 7), (1, 6), (1, 1), (0, 4)]","[(7, 8), (8, 8)]",36
10,  0 1 2 3 4 5 6 7 8 9\n0 S X . . . . . . . .\n1 . . . . X . . . X .\n2 . . X . . . X . . .\n3 . . . X . X X . . X\n4 X . X . . . . X . 1\n5 2 . X . X . X X . .\n6 . . . . M M M M X .\n7 . . . . . X . X . .\n8 . . . . . 3 . . . X\n9 . . . X . X . . . X,"{1: (4, 9), 2: (5, 0), 3: (8, 5)}","[(1, 4), (3, 3), (2, 2), (4, 7), (5, 2), (6, 8), (8, 9), (7, 7), (3, 5), (5, 7), (3, 6), (7, 5), (5, 6), (9, 5), (3, 9), (9, 9), (4, 0), (1, 8), (4, 2), (5, 4), (0, 1), (9, 3), (2, 6)]","[(6, 4), (6, 5), (6, 6), (6, 7)]",39
10,  0 1 2 3 4 5 6 7 8 9\n0 S . . . . . . . . X\n1 . M M . . . . . . .\n2 . M M . . . . . X .\n3 . . X . . . 3 . . .\n4 . . . . . . . . . .\n5 . 2 . . . . . . X .\n6 . . . . . . . . . .\n7 . . X . X . . . . .\n8 . . . . . 1 X . X .\n9 . . . . . . X . . X,"{1: (8, 5), 2: (5, 1), 3: (3, 6)}","[(8, 6), (5, 8), (7, 2), (9, 6), (3, 2), (0, 9), (7, 4), (2, 8), (8, 8), (9, 9)]","[(2, 1), (2, 2), (1, 2), (1, 1)]",27
