n,grid,goals,static,moving,BFS_steps
4,  0 1 2 3\n0 S 1 M M\n1 . 3 M M\n2 . . X .\n3 2 X . .,"{1: (0, 1), 2: (3, 0), 3: (1, 1)}","[(2, 2), (3, 1)]","[(0, 2), (1, 2), (1, 3), (0, 3)]",8
4,  0 1 2 3\n0 S 3 . .\n1 . 1 . .\n2 . . . M\n3 X 2 M M,"{1: (1, 1), 2: (3, 1), 3: (0, 1)}","[(3, 0)]","[(3, 2), (3, 3), (2, 3)]",7
4,  0 1 2 3\n0 S . 2 .\n1 X . . 3\n2 . 1 M M\n3 . X . .,"{1: (2, 1), 2: (0, 2), 3: (1, 3)}","[(1, 0), (3, 1)]","[(2, 3), (2, 2)]",8
4,  0 1 2 3\n0 S . . 3\n1 X . 2 .\n2 M . . .\n3 M M 1 .,"{1: (3, 2), 2: (1, 2), 3: (0, 3)}","[(1, 0)]","[(2, 0), (3, 0), (3, 1)]",9
4,  0 1 2 3\n0 S X M M\n1 . . 3 .\n2 . . 1 .\n3 2 . . X,"{1: (2, 2), 2: (3, 0), 3: (1, 2)}","[(0, 1), (3, 3)]","[(0, 2), (0, 3)]",11
4,  0 1 2 3\n0 S . . 1\n1 . . M .\n2 . . M 3\n3 . 2 X .,"{1: (0, 3), 2: (3, 1), 3: (2, 3)}","[(3, 2)]","[(2, 2), (1, 2)]",11
4,  0 1 2 3\n0 S . M .\n1 . . M X\n2 1 2 . .\n3 X . . 3,"{1: (2, 0), 2: (2, 1), 3: (3, 3)}","[(3, 0), (1, 3)]","[(1, 2), (0, 2)]",6
4,  0 1 2 3\n0 S . . .\n1 . 1 X .\n2 3 M M 2\n3 . X . .,"{1: (1, 1), 2: (2, 3), 3: (2, 0)}","[(1, 2), (3, 1)]","[(2, 2), (2, 1)]",8
4,  0 1 2 3\n0 S 2 . .\n1 . X . .\n2 . M . 3\n3 1 M . .,"{1: (3, 0), 2: (0, 1), 3: (2, 3)}","[(1, 1)]","[(2, 1), (3, 1)]",11
4,  0 1 2 3\n0 S M 3 .\n1 1 M M .\n2 . X . .\n3 . . 2 .,"{1: (1, 0), 2: (3, 2), 3: (0, 2)}","[(2, 1)]","[(0, 1), (1, 1), (1, 2)]",8
5,  0 1 2 3 4\n0 S . . . .\n1 . . . . 2\n2 . . X 1 .\n3 3 . . . M\n4 . . . . M,"{1: (2, 3), 2: (1, 4), 3: (3, 0)}","[(2, 2)]","[(4, 4), (3, 4)]",13
5,  0 1 2 3 4\n0 S X M M 3\n1 . . . 1 .\n2 . . . 2 .\n3 . X . . .\n4 . . . X .,"{1: (1, 3), 2: (2, 3), 3: (0, 4)}","[(0, 1), (3, 1), (4, 3)]","[(0, 2), (0, 3)]",8
5,  0 1 2 3 4\n0 S . . 3 2\n1 . M . . .\n2 . M X . .\n3 X X . . 1\n4 . . . . .,"{1: (3, 4), 2: (0, 4), 3: (0, 3)}","[(3, 0), (3, 1), (2, 2)]","[(1, 1), (2, 1)]",11
5,  0 1 2 3 4\n0 S . . . X\n1 . . 2 . .\n2 . . M . .\n3 . . M . X\n4 1 . M 3 .,"{1: (4, 0), 2: (1, 2), 3: (4, 3)}","[(0, 4), (3, 4)]","[(4, 2), (3, 2), (2, 2)]",13
5,  0 1 2 3 4\n0 S . . . .\n1 2 . M . .\n2 . . M . .\n3 . . . 3 .\n4 . . . 1 X,"{1: (4, 3), 2: (1, 0), 3: (3, 3)}","[(4, 4)]","[(1, 2), (2, 2)]",18
5,  0 1 2 3 4\n0 S 1 M M M\n1 . 2 X . .\n2 . . X . .\n3 X . X . .\n4 . . . . 3,"{1: (0, 1), 2: (1, 1), 3: (4, 4)}","[(1, 2), (2, 2), (3, 2), (3, 0)]","[(0, 4), (0, 3), (0, 2)]",8
5,  0 1 2 3 4\n0 S . . . .\n1 . . . . .\n2 . . . 1 X\n3 . X X 3 M\n4 . . 2 M M,"{1: (2, 3), 2: (4, 2), 3: (3, 3)}","[(3, 2), (2, 4), (3, 1)]","[(3, 4), (4, 4), (4, 3)]",14
