n,grid,goal,static,moving,future
2,  0 1\n0 S G\n1 . .,"(0, 1)",[],[],[]
2,  0 1\n0 S .\n1 G .,"(1, 0)",[],[],[]
3,  0 1 2\n0 S . .\n1 . . G\n2 . X .,"(1, 2)","[(2, 1)]",[],[]
3,  0 1 2\n0 S . .\n1 . . G\n2 . X .,"(1, 2)","[(2, 1)]",[],[]
3,  0 1 2\n0 S . G\n1 . . .\n2 . . .,"(0, 2)",[],[],[]
4,  0 1 2 3\n0 S F . .\n1 . . G .\n2 . . . .\n3 . . . X,"(1, 2)","[(3, 3)]",[],"[(0, 1)]"
4,  0 1 2 3\n0 S . . .\n1 . X . .\n2 . . G X\n3 . . F .,"(2, 2)","[(1, 1), (2, 3)]",[],"[(3, 2)]"
4,  0 1 2 3\n0 S . X .\n1 . . X .\n2 . . . .\n3 F G . .,"(3, 1)","[(1, 2), (0, 2)]",[],"[(3, 0)]"
4,  0 1 2 3\n0 S G . .\n1 . . . .\n2 . . . X\n3 X . F .,"(0, 1)","[(3, 0), (2, 3)]",[],"[(3, 2)]"
4,  0 1 2 3\n0 S . . .\n1 X F . .\n2 . . . .\n3 . . X G,"(3, 3)","[(3, 2), (1, 0)]",[],"[(1, 1)]"
5,  0 1 2 3 4\n0 S . M . .\n1 G . . . .\n2 . . . X .\n3 X . . . .\n4 . X . . .,"(1, 0)","[(2, 3), (3, 0), (4, 1)]","[(0, 2)]",[]
5,  0 1 2 3 4\n0 S . . . .\n1 . . X . .\n2 . . . X G\n3 X . . . .\n4 X M . . .,"(2, 4)","[(1, 2), (2, 3), (3, 0), (4, 0)]","[(4, 1)]",[]
5,  0 1 2 3 4\n0 S . . . .\n1 X . X . X\n2 . . . . X\n3 . . . . .\n4 . G M . .,"(4, 1)","[(1, 4), (1, 0), (2, 4), (1, 2)]","[(4, 2)]",[]
5,  0 1 2 3 4\n0 S . . . .\n1 X . X M .\n2 . X . . .\n3 . X . . .\n4 . . . . G,"(4, 4)","[(2, 1), (1, 2), (3, 1), (1, 0)]","[(1, 3)]",[]
5,  0 1 2 3 4\n0 S . . G .\n1 . . X . .\n2 . . . . X\n3 . . . . X\n4 M . . . .,"(0, 3)","[(2, 4), (3, 4), (1, 2)]","[(4, 0)]",[]
5,  0 1 2 3 4\n0 S . . F G\n1 . . . X .\n2 . . . . .\n3 . . . . .\n4 . . . . .,"(0, 4)","[(1, 3)]",[],"[(0, 3)]"
5,  0 1 2 3 4\n0 S G . . .\n1 . . . . M\n2 . F . . .\n3 . . . X X\n4 X . X . .,"(0, 1)","[(4, 0), (4, 2), (3, 4), (3, 3)]","[(1, 4)]","[(2, 1)]"
5,  0 1 2 3 4\n0 S . . . X\n1 . . . . X\n2 G . . . .\n3 M . . . X\n4 X . . . .,"(2, 0)","[(1, 4), (4, 0), (0, 4), (3, 4)]","[(3, 0)]",[]
5,  0 1 2 3 4\n0 S . . . .\n1 X X G . .\n2 . . . . X\n3 . . . . .\n4 . . . M .,"(1, 2)","[(1, 0), (1, 1), (2, 4)]","[(4, 3)]",[]
5,  0 1 2 3 4\n0 S . . . X\n1 . . . . M\n2 X . . . .\n3 . . G X .\n4 . . . . .,"(3, 2)","[(2, 0), (3, 3), (0, 4)]","[(1, 4)]",[]
6,  0 1 2 3 4 5\n0 S . . . . .\n1 X . . . . F\n2 . . . . . .\n3 X . . X . .\n4 . . . X . .\n5 M . X G . .,"(5, 3)","[(4, 3), (1, 0), (3, 3), (5, 2), (3, 0)]","[(5, 0)]","[(1, 5)]"
6,  0 1 2 3 4 5\n0 S G . . . .\n1 . . . . F .\n2 . . . . . .\n3 . . . . . .\n4 . . . . . .\n5 . X . . . .,"(0, 1)","[(5, 1)]",[],"[(1, 4)]"
6,  0 1 2 3 4 5\n0 S . . . . .\n1 . . . . . X\n2 . . . X X .\n3 . G . . . .\n4 X . . . . .\n5 M . . . . .,"(3, 1)","[(1, 5), (2, 4), (4, 0), (2, 3)]","[(5, 0)]",[]
6,  0 1 2 3 4 5\n0 S . . . . .\n1 . . X . . M\n2 . X . . . .\n3 . . X . . .\n4 G . . . . F\n5 X . X . . .,"(4, 0)","[(5, 0), (3, 2), (2, 1), (1, 2), (5, 2)]","[(1, 5)]","[(4, 5)]"
6,  0 1 2 3 4 5\n0 S . . . . .\n1 X . . X . .\n2 . . . . . .\n3 . M . . . G\n4 . . X . . .\n5 . . . . . .,"(3, 5)","[(1, 3), (1, 0), (4, 2)]","[(3, 1)]",[]
6,  0 1 2 3 4 5\n0 S . . . M .\n1 . . X . X F\n2 X X . . . .\n3 . . . . . .\n4 . . . . . G\n5 . . . . . .,"(4, 5)","[(1, 2), (1, 4), (2, 1), (2, 0)]","[(0, 4)]","[(1, 5)]"
6,  0 1 2 3 4 5\n0 S . . M . .\n1 X . . . . .\n2 . . X . . X\n3 . . . G . .\n4 X . . . . .\n5 . . . . . .,"(3, 3)","[(2, 2), (2, 5), (4, 0), (1, 0)]","[(0, 3)]",[]
6,  0 1 2 3 4 5\n0 S X . . G M\n1 . . . . . .\n2 . . . . . .\n3 . . F . . .\n4 . X . X X .\n5 . X . . . .,"(0, 4)","[(4, 1), (5, 1), (4, 4), (4, 3), (0, 1)]","[(0, 5)]","[(3, 2)]"
6,  0 1 2 3 4 5\n0 S . F . X .\n1 . . X G . M\n2 X . . . . .\n3 . . X . . .\n4 . . . . . .\n5 . . . . . X,"(1, 3)","[(2, 0), (5, 5), (1, 2), (0, 4), (3, 2)]","[(1, 5)]","[(0, 2)]"
6,  0 1 2 3 4 5\n0 S . . . . .\n1 . G X . . .\n2 . . . . . X\n3 . . . . . .\n4 F . . . . .\n5 . . . . . .,"(1, 1)","[(1, 2), (2, 5)]",[],"[(4, 0)]"
7,  0 1 2 3 4 5 6\n0 S X F . . X .\n1 . . . G . . X\n2 . . . . . . .\n3 . X X . M X .\n4 . X . X F . .\n5 . X . . . . F\n6 X . X . M . .,"(1, 3)","[(3, 2), (4, 1), (6, 0), (3, 5), (6, 2), (4, 3), (0, 1), (1, 6), (0, 5), (5, 1), (3, 1)]","[(6, 4), (3, 4)]","[(5, 6), (4, 4), (0, 2)]"
7,  0 1 2 3 4 5 6\n0 S . . . . . X\n1 . F . . F . .\n2 . . . . . M .\n3 . . . . . X .\n4 . X . . . . G\n5 . X . . . . .\n6 X . . . . . X,"(4, 6)","[(3, 5), (5, 1), (6, 6), (4, 1), (6, 0), (0, 6)]","[(2, 5)]","[(1, 4), (1, 1)]"
7,  0 1 2 3 4 5 6\n0 S . . . . . .\n1 . . . X . . X\n2 F . . M . . .\n3 . . . . . G X\n4 X . X . . . .\n5 . . X . . X F\n6 . . X M . . .,"(3, 5)","[(5, 5), (6, 2), (4, 2), (1, 6), (3, 6), (5, 2), (4, 0), (1, 3)]","[(6, 3), (2, 3)]","[(2, 0), (5, 6)]"
7,  0 1 2 3 4 5 6\n0 S X . X . . .\n1 . . . X . . .\n2 . . . . M X .\n3 . . . . . . M\n4 . . . . . . G\n5 F X . . . . .\n6 X . . . X . .,"(4, 6)","[(2, 5), (1, 3), (6, 4), (6, 0), (0, 3), (5, 1), (0, 1)]","[(3, 6), (2, 4)]","[(5, 0)]"
7,  0 1 2 3 4 5 6\n0 S . . . . X .\n1 . . . . . G .\n2 F M . . X X .\n3 . . . . M . .\n4 . . . . X . X\n5 X . . X . . .\n6 . F X . . X .,"(1, 5)","[(2, 4), (5, 0), (0, 5), (4, 4), (6, 5), (6, 2), (5, 3), (4, 6), (2, 5)]","[(3, 4), (2, 1)]","[(6, 1), (2, 0)]"
7,  0 1 2 3 4 5 6\n0 S . . . . . .\n1 . . . . . . .\n2 X . . . . . .\n3 X . M . . . .\n4 . F . . G . .\n5 . . . . . . .\n6 . . . X . X .,"(4, 4)","[(6, 3), (2, 0), (6, 5), (3, 0)]","[(3, 2)]","[(4, 1)]"
7,  0 1 2 3 4 5 6\n0 S . F X X . .\n1 . M . . X . .\n2 . . . . . . X\n3 . . X . X X .\n4 . . . . . G .\n5 . . X . . . M\n6 . . . . . . .,"(4, 5)","[(3, 4), (0, 3), (5, 2), (3, 5), (1, 4), (2, 6), (0, 4), (3, 2)]","[(5, 6), (1, 1)]","[(0, 2)]"
7,  0 1 2 3 4 5 6\n0 S . . X . X .\n1 . . . . . . .\n2 . . . . . . .\n3 X . . . . . .\n4 . . . . . . .\n5 . . G . . M .\n6 X F . . . . .,"(5, 2)","[(0, 3), (3, 0), (0, 5), (6, 0)]","[(5, 5)]","[(6, 1)]"
7,  0 1 2 3 4 5 6\n0 S . . . . . G\n1 . . . X . . .\n2 . . . . . X .\n3 . . . X . . .\n4 . X F . . . .\n5 . . . . . X .\n6 . . M . . . .,"(0, 6)","[(4, 1), (3, 3), (1, 3), (2, 5), (5, 5)]","[(6, 2)]","[(4, 2)]"
7,  0 1 2 3 4 5 6\n0 S . . . . . F\n1 . . . . . . .\n2 . X . . . . X\n3 . . . . . . .\n4 M G X . X . X\n5 . . . . . X X\n6 . X M X . . F,"(4, 1)","[(2, 1), (6, 1), (4, 4), (4, 6), (6, 3), (2, 6), (4, 2), (5, 6), (5, 5)]","[(4, 0), (6, 2)]","[(6, 6), (0, 6)]"
8,  0 1 2 3 4 5 6 7\n0 S F . . . . . .\n1 . . . X . . . .\n2 . . . . . X . X\n3 . G X . . . . .\n4 . . . . . . . .\n5 X . . . F . . .\n6 . M . . . M X X\n7 . . . . . X . X,"(3, 1)","[(7, 7), (6, 6), (2, 7), (3, 2), (2, 5), (7, 5), (1, 3), (5, 0), (6, 7)]","[(6, 5), (6, 1)]","[(0, 1), (5, 4)]"
8,  0 1 2 3 4 5 6 7\n0 S . . . . . . .\n1 . . . . . G . .\n2 M . . . . . . X\n3 . X . X F . X .\n4 X . . . . X . .\n5 . . . . . M . .\n6 . . X X . . . .\n7 . . . . . . . .,"(1, 5)","[(3, 3), (6, 2), (3, 1), (6, 3), (4, 0), (2, 7), (3, 6), (4, 5)]","[(2, 0), (5, 5)]","[(3, 4)]"
8,  0 1 2 3 4 5 6 7\n0 S . X . . X . .\n1 . . G . . . . .\n2 . . . . . . . .\n3 . . F X . . . .\n4 . . . . X . . .\n5 . . . . . . . .\n6 M . . . . . . .\n7 . . . . X . . .,"(1, 2)","[(0, 2), (4, 4), (7, 4), (3, 3), (0, 5)]","[(6, 0)]","[(3, 2)]"
8,  0 1 2 3 4 5 6 7\n0 S . . . X . . X\n1 . . X . . F . M\n2 . . M . . . X X\n3 X . . . . . F X\n4 . . X . X . . .\n5 . . . . . G . F\n6 . M X . . . . .\n7 . X . X . . X X,"(5, 5)","[(2, 7), (6, 2), (1, 2), (7, 3), (7, 7), (0, 7), (4, 4), (7, 6), (7, 1), (0, 4), (3, 0), (3, 7), (2, 6), (4, 2)]","[(2, 2), (6, 1), (1, 7)]","[(5, 7), (1, 5), (3, 6)]"
