n,grid,goals,static,moving,BFS_steps
2,  0 1\n0 S 1\n1 3 2,"{1: (0, 1), 2: (1, 1), 3: (1, 0)}",[],[],3
2,  0 1\n0 S 3\n1 1 2,"{1: (1, 0), 2: (1, 1), 3: (0, 1)}",[],[],3
2,  0 1\n0 S 1\n1 2 3,"{1: (0, 1), 2: (1, 0), 3: (1, 1)}",[],[],4
2,  0 1\n0 S 2\n1 1 3,"{1: (1, 0), 2: (0, 1), 3: (1, 1)}",[],[],4
3,  0 1 2\n0 S 2 .\n1 . . .\n2 1 3 .,"{1: (2, 0), 2: (0, 1), 3: (2, 1)}",[],[],7
3,  0 1 2\n0 S 1 .\n1 . 3 .\n2 2 . .,"{1: (0, 1), 2: (2, 0), 3: (1, 1)}",[],[],6
3,  0 1 2\n0 S . 3\n1 . . 2\n2 1 . .,"{1: (2, 0), 2: (1, 2), 3: (0, 2)}",[],[],6
3,  0 1 2\n0 S . 1\n1 . . .\n2 . 2 3,"{1: (0, 2), 2: (2, 1), 3: (2, 2)}",[],[],6
3,  0 1 2\n0 S . 2\n1 3 . .\n2 1 . .,"{1: (2, 0), 2: (0, 2), 3: (1, 0)}",[],[],11
3,  0 1 2\n0 S . 1\n1 . . 2\n2 3 . .,"{1: (0, 2), 2: (1, 2), 3: (2, 0)}",[],[],6
3,  0 1 2\n0 S . .\n1 3 1 .\n2 2 . .,"{1: (1, 1), 2: (2, 0), 3: (1, 0)}",[],[],5
3,  0 1 2\n0 S . 1\n1 . . 3\n2 . . 2,"{1: (0, 2), 2: (2, 2), 3: (1, 2)}",[],[],7
3,  0 1 2\n0 S . 2\n1 3 . .\n2 . . 1,"{1: (2, 2), 2: (0, 2), 3: (1, 0)}",[],[],9
3,  0 1 2\n0 S . .\n1 . 3 2\n2 . 1 .,"{1: (2, 1), 2: (1, 2), 3: (1, 1)}",[],[],6
3,  0 1 2\n0 S 1 .\n1 . . .\n2 . 2 3,"{1: (0, 1), 2: (2, 1), 3: (2, 2)}",[],[],4
3,  0 1 2\n0 S . .\n1 . 2 3\n2 . 1 .,"{1: (2, 1), 2: (1, 1), 3: (1, 2)}",[],[],5
3,  0 1 2\n0 S . 1\n1 . . 3\n2 2 . .,"{1: (0, 2), 2: (2, 0), 3: (1, 2)}",[],[],9
3,  0 1 2\n0 S 2 .\n1 . . .\n2 3 . 1,"{1: (2, 2), 2: (0, 1), 3: (2, 0)}",[],[],10
3,  0 1 2\n0 S . .\n1 . . 1\n2 3 2 .,"{1: (1, 2), 2: (2, 1), 3: (2, 0)}",[],[],6
3,  0 1 2\n0 S 1 .\n1 3 . 2\n2 . . .,"{1: (0, 1), 2: (1, 2), 3: (1, 0)}",[],[],5
3,  0 1 2\n0 S 3 2\n1 . . 1\n2 . . .,"{1: (1, 2), 2: (0, 2), 3: (0, 1)}",[],[],5
3,  0 1 2\n0 S . 2\n1 1 . .\n2 3 . .,"{1: (1, 0), 2: (0, 2), 3: (2, 0)}",[],[],8
3,  0 1 2\n0 S 1 .\n1 . . .\n2 3 . 2,"{1: (0, 1), 2: (2, 2), 3: (2, 0)}",[],[],6
3,  0 1 2\n0 S . 1\n1 . . 2\n2 . . 3,"{1: (0, 2), 2: (1, 2), 3: (2, 2)}",[],[],4
3,  0 1 2\n0 S . 2\n1 . 3 .\n2 . . 1,"{1: (2, 2), 2: (0, 2), 3: (1, 1)}",[],[],8
3,  0 1 2\n0 S . .\n1 . 2 .\n2 1 3 .,"{1: (2, 0), 2: (1, 1), 3: (2, 1)}",[],[],5
3,  0 1 2\n0 S 3 .\n1 . . .\n2 1 2 .,"{1: (2, 0), 2: (2, 1), 3: (0, 1)}",[],[],5
3,  0 1 2\n0 S . .\n1 1 3 .\n2 . . 2,"{1: (1, 0), 2: (2, 2), 3: (1, 1)}",[],[],6
3,  0 1 2\n0 S 1 3\n1 . . .\n2 . . 2,"{1: (0, 1), 2: (2, 2), 3: (0, 2)}",[],[],6
3,  0 1 2\n0 S 2 3\n1 . . .\n2 . 1 .,"{1: (2, 1), 2: (0, 1), 3: (0, 2)}",[],[],6
3,  0 1 2\n0 S . .\n1 2 3 .\n2 . . 1,"{1: (2, 2), 2: (1, 0), 3: (1, 1)}",[],[],8
3,  0 1 2\n0 S 1 .\n1 . . 2\n2 3 . .,"{1: (0, 1), 2: (1, 2), 3: (2, 0)}",[],[],6
3,  0 1 2\n0 S 2 .\n1 1 . 3\n2 . . .,"{1: (1, 0), 2: (0, 1), 3: (1, 2)}",[],[],5
3,  0 1 2\n0 S . .\n1 . 1 2\n2 . 3 .,"{1: (1, 1), 2: (1, 2), 3: (2, 1)}",[],[],5
3,  0 1 2\n0 S . .\n1 . 1 .\n2 2 3 .,"{1: (1, 1), 2: (2, 0), 3: (2, 1)}",[],[],5
3,  0 1 2\n0 S . .\n1 3 2 1\n2 . . .,"{1: (1, 2), 2: (1, 1), 3: (1, 0)}",[],[],5
3,  0 1 2\n0 S . .\n1 3 1 2\n2 . . .,"{1: (1, 1), 2: (1, 2), 3: (1, 0)}",[],[],5
3,  0 1 2\n0 S . .\n1 1 2 3\n2 . . .,"{1: (1, 0), 2: (1, 1), 3: (1, 2)}",[],[],3
3,  0 1 2\n0 S . 1\n1 3 . .\n2 . . 2,"{1: (0, 2), 2: (2, 2), 3: (1, 0)}",[],[],7
3,  0 1 2\n0 S . .\n1 1 . .\n2 2 . 3,"{1: (1, 0), 2: (2, 0), 3: (2, 2)}",[],[],4
3,  0 1 2\n0 S 2 1\n1 . . .\n2 3 . .,"{1: (0, 2), 2: (0, 1), 3: (2, 0)}",[],[],8
3,  0 1 2\n0 S 1 .\n1 2 . .\n2 . 3 .,"{1: (0, 1), 2: (1, 0), 3: (2, 1)}",[],[],5
3,  0 1 2\n0 S . .\n1 . . 3\n2 1 2 .,"{1: (2, 0), 2: (2, 1), 3: (1, 2)}",[],[],5
3,  0 1 2\n0 S 3 .\n1 1 2 .\n2 . . .,"{1: (1, 0), 2: (1, 1), 3: (0, 1)}",[],[],3
3,  0 1 2\n0 S 3 1\n1 . 2 .\n2 . . .,"{1: (0, 2), 2: (1, 1), 3: (0, 1)}",[],[],9
3,  0 1 2\n0 S 3 2\n1 . 1 .\n2 . . .,"{1: (1, 1), 2: (0, 2), 3: (0, 1)}",[],[],5
3,  0 1 2\n0 S . .\n1 2 . 1\n2 3 . .,"{1: (1, 2), 2: (1, 0), 3: (2, 0)}",[],[],6
3,  0 1 2\n0 S . 1\n1 2 . .\n2 . . 3,"{1: (0, 2), 2: (1, 0), 3: (2, 2)}",[],[],8
3,  0 1 2\n0 S . .\n1 3 . .\n2 1 . 2,"{1: (2, 0), 2: (2, 2), 3: (1, 0)}",[],[],9
3,  0 1 2\n0 S 2 .\n1 . . 3\n2 . 1 .,"{1: (2, 1), 2: (0, 1), 3: (1, 2)}",[],[],7
3,  0 1 2\n0 S . .\n1 3 . 2\n2 1 . .,"{1: (2, 0), 2: (1, 2), 3: (1, 0)}",[],[],9
3,  0 1 2\n0 S . .\n1 . 2 .\n2 1 . 3,"{1: (2, 0), 2: (1, 1), 3: (2, 2)}",[],[],6
3,  0 1 2\n0 S . .\n1 . . .\n2 2 1 3,"{1: (2, 1), 2: (2, 0), 3: (2, 2)}",[],[],6
3,  0 1 2\n0 S . .\n1 . 1 3\n2 . . 2,"{1: (1, 1), 2: (2, 2), 3: (1, 2)}",[],[],5
3,  0 1 2\n0 S . .\n1 . 1 2\n2 . . 3,"{1: (1, 1), 2: (1, 2), 3: (2, 2)}",[],[],4
4,  0 1 2 3\n0 S . . .\n1 2 . . .\n2 . . . 3\n3 . 1 . X,"{1: (3, 1), 2: (1, 0), 3: (2, 3)}","[(3, 3)]",[],11
4,  0 1 2 3\n0 S M M .\n1 . X . 3\n2 . . X .\n3 1 . . 2,"{1: (3, 0), 2: (3, 3), 3: (1, 3)}","[(2, 2), (1, 1)]","[(0, 2), (0, 1)]",8
4,  0 1 2 3\n0 S X . .\n1 . . . .\n2 1 3 . 2\n3 . . M M,"{1: (2, 0), 2: (2, 3), 3: (2, 1)}","[(0, 1)]","[(3, 3), (3, 2)]",9
4,  0 1 2 3\n0 S X . .\n1 . . . X\n2 2 1 . 3\n3 M M . .,"{1: (2, 1), 2: (2, 0), 3: (2, 3)}","[(1, 3), (0, 1)]","[(3, 0), (3, 1)]",7
4,  0 1 2 3\n0 S . 1 .\n1 . . X 2\n2 M . . .\n3 M X 3 .,"{1: (0, 2), 2: (1, 3), 3: (3, 2)}","[(1, 2), (3, 1)]","[(2, 0), (3, 0)]",7
4,  0 1 2 3\n0 S . X .\n1 M . 1 .\n2 M M X 2\n3 . . 3 .,"{1: (1, 2), 2: (2, 3), 3: (3, 2)}","[(2, 2), (0, 2)]","[(1, 0), (2, 0), (2, 1)]",7
4,  0 1 2 3\n0 S . X .\n1 1 . 3 .\n2 2 . . .\n3 . . . .,"{1: (1, 0), 2: (2, 0), 3: (1, 2)}","[(0, 2)]",[],5
4,  0 1 2 3\n0 S . 2 .\n1 . . . .\n2 . X M 1\n3 . 3 M .,"{1: (2, 3), 2: (0, 2), 3: (3, 1)}","[(2, 1)]","[(3, 2), (2, 2)]",12
4,  0 1 2 3\n0 S . . .\n1 X 1 3 .\n2 M . . .\n3 M 2 . .,"{1: (1, 1), 2: (3, 1), 3: (1, 2)}","[(1, 0)]","[(2, 0), (3, 0)]",7
4,  0 1 2 3\n0 S 3 . .\n1 . X M M\n2 . . 1 M\n3 X 2 . .,"{1: (2, 2), 2: (3, 1), 3: (0, 1)}","[(1, 1), (3, 0)]","[(2, 3), (1, 3), (1, 2)]",11
4,  0 1 2 3\n0 S . . .\n1 X 3 . .\n2 . 1 . 2\n3 . . . .,"{1: (2, 1), 2: (2, 3), 3: (1, 1)}","[(1, 0)]",[],10
4,  0 1 2 3\n0 S . . .\n1 3 . X .\n2 2 . . .\n3 M M M 1,"{1: (3, 3), 2: (2, 0), 3: (1, 0)}","[(1, 2)]","[(3, 2), (3, 1), (3, 0)]",11
4,  0 1 2 3\n0 S . . .\n1 X . 1 2\n2 M M . .\n3 3 . . X,"{1: (1, 2), 2: (1, 3), 3: (3, 0)}","[(3, 3), (1, 0)]","[(2, 0), (2, 1)]",9
4,  0 1 2 3\n0 S 2 . .\n1 . 1 . .\n2 . X . .\n3 3 . . .,"{1: (1, 1), 2: (0, 1), 3: (3, 0)}","[(2, 1)]",[],7
