ltl_score,prism_probability,evaluation_time,size,goals,obstacles,complexity
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",48.13522815704346,2,3,0,5
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",53.213873624801636,2,3,0,4
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",61.80647587776184,2,3,0,4
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",75.13811421394348,3,3,0,8
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",71.73009419441223,3,3,0,10
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",122.19542264938354,4,3,1,9
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",141.40846490859985,4,3,2,16
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",146.69578766822815,5,3,1,18
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",180.07532572746277,5,3,1,10
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",186.68553519248962,6,3,2,17
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",218.04969310760498,6,3,5,13
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",137.4856584072113,6,3,2,15
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",601.2306573390961,7,3,8,16
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",949.6761982440948,7,3,10,20
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",337.9785759449005,8,3,8,29
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",1579.1270053386688,8,3,17,24
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",520.401933670044,9,3,20,26
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",497.33341121673584,9,3,12,25
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",540.4075074195862,10,3,22,21
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",622.9467217922211,10,3,17,17
