sample_id,size,legacy_success,legacy_iterations,legacy_time,legacy_llm_calls,legacy_output_tokens,legacy_prompt_tokens,legacy_llm_time,legacy_prism_time,legacy_goal1,legacy_goal2,legacy_goal3,legacy_seq_1_before_2,legacy_seq_2_before_3,legacy_complete_sequence,legacy_avoid_moving_seg1,legacy_avoid_moving_seg2,legacy_avoid_moving_seg3,symbolic_success,symbolic_best_case_success,symbolic_iterations,symbolic_time,symbolic_llm_calls,symbolic_output_tokens,symbolic_prompt_tokens,symbolic_llm_time,symbolic_prism_time,symbolic_rules,symbolic_invalid_answers,symbolic_worst_avoid_moving_seg1,symbolic_worst_avoid_moving_seg2,symbolic_worst_avoid_moving_seg3,symbolic_worst_complete_sequence,symbolic_worst_goal1,symbolic_worst_goal2,symbolic_worst_goal3,symbolic_worst_seq_1_before_2,symbolic_worst_seq_2_before_3,symbolic_best_avoid_moving_seg1,symbolic_best_avoid_moving_seg2,symbolic_best_avoid_moving_seg3,symbolic_best_complete_sequence,symbolic_best_goal1,symbolic_best_goal2,symbolic_best_goal3,symbolic_best_seq_1_before_2,symbolic_best_seq_2_before_3,optimum_avoid_moving_seg1,optimum_avoid_moving_seg2,optimum_avoid_moving_seg3,optimum_complete_sequence,optimum_goal1,optimum_goal2,optimum_goal3,optimum_seq_1_before_2,optimum_seq_2_before_3,legacy_met,legacy_shortfall,symbolic_worst_met,symbolic_worst_shortfall,symbolic_best_met,symbolic_best_shortfall
0,4,False,5,187.14562439918518,15,5359,20902,180.23637104034424,6.900370121002197,1.0,0.016731057935606183,1.0,0.9832683122407417,0.0,0.0,0.9813137341900768,0.0,1.0,False,False,5,190.1171112060547,5,7611,18262,181.4742715358734,7.199584484100342,86,0,0.9934065634191087,0.5113434780767149,0.9962741202736285,0.02026750753224016,0.8659919122108953,0.6562802076672758,0.8633952964536057,0.8659919057819748,0.02026750753224016,0.9934065634191087,0.5113434780767149,0.9962741202736285,0.02026652343693104,0.8659919122108953,0.6562802076672758,0.8633952964536057,0.8659919057819748,0.02026652343693104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,3.083268942064394,5,1.8918412991915292,5,1.8918432673821475
1,4,False,5,181.8950159549713,15,5578,20552,174.98026585578918,6.905900478363037,1.0,1.0,1.0,0.926777531901418,0.14630084973654053,0.12652882254356174,0.9285359173599638,0.8865475940339153,0.028509994070520128,False,False,5,288.69492864608765,7,6748,18039,279.97787857055664,7.281430244445801,15,3,0.9148764584276972,0.8830028862667457,0.012730811190506008,0.12874212670058094,1.0,1.0,1.0,0.9249736748675291,0.1483641608833155,0.9148764584276972,0.8830028862667457,0.012730811190506008,0.1287416761877508,1.0,1.0,1.0,0.9249736748675291,0.14836315436418518,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,1.9986603336493776,6,2.0101629012255975,6,2.0101643582575583
2,4,False,5,182.65166807174683,15,5381,20672,175.83753108978271,6.782274484634399,1.0,1.0,0.9914964808192466,0.14661301588083347,0.09786251011232902,0.015091955965800239,0.6073191791037006,0.383179258957116,0.894399783447579,False,False,5,183.91370487213135,5,5596,15986,175.58432960510254,6.975410461425781,40,0,0.6790585475340298,0.8303633271482176,0.8989182377875877,0.09536688245985081,1.0,1.0,1.0,0.09677393657789982,0.708573091791925,0.6790585475340298,0.8303633271482176,0.8989182377875877,0.09536688044881741,1.0,1.0,1.0,0.09677393657789982,0.7085730749270645,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,2.5499340799802206,5,1.5202275416362947,5,1.5202275605121887
3,4,False,5,182.92560124397278,15,5156,20536,176.19942212104797,6.712026834487915,1.0,1.0,1.0,0.09962983293346112,0.7153471613835207,0.08744654368603337,0.8066316379202744,1.0,1.0,False,False,5,164.80820488929749,5,3948,14955,156.45705795288086,6.985968828201294,32,0,0.8238031239194061,1.0,1.0,0.00033386461239026666,1.0,0.9608577084907336,1.0,0.04018886074561034,0.00041938416934816924,0.8238031239194061,1.0,1.0,0.00032817446751544127,1.0,0.9608577084907336,1.0,0.04018886074561034,0.00041303751551795547,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,1.4975764619969851,6,2.3590578904726516,6,2.3590699272713564
4,5,False,5,584.7592384815216,15,8127,21870,578.0376422405243,6.711042404174805,1.0,1.0,0.004175041970079859,0.032618923313056034,0.9958247794091097,0.02986092933466876,0.9908983698327595,0.04907720312088748,0.0,False,False,5,179.97270274162292,5,6150,17989,171.60080981254578,7.016876459121704,74,0,0.9314748543028624,1.0,0.00027397715114751975,0.7723149595023131,1.0,1.0,1.0,0.773133487022538,0.949012198365195,0.9750094830552956,1.0,0.5295758561872306,0.8242519533257345,1.0,1.0,1.0,0.8298995294285729,0.9941750451520912,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,3.6842679022613076,6,0.7542775763240014,8,0.17042414381276938
5,5,False,5,598.3134052753448,15,7939,22025,591.5675148963928,6.736550807952881,0.8165773614076905,0.9439561955731393,0.8165768425795557,0.656052727146289,0.5765657625246478,0.46322316779141737,0.8786107368551739,0.6209370287566349,0.9746626518865777,False,False,5,164.39980268478394,5,5424,13772,156.1536774635315,6.886061906814575,35,0,0.7218641465078416,0.12652191271524516,0.681690976631986,0.003169177739514528,1.0,1.0,1.0,0.18185439291418157,0.08693958608579111,0.7218641465078416,0.12652191271524516,0.681690976631986,0.0031691576846548768,1.0,1.0,1.0,0.18185439291418157,0.08692823836590333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,0.783221313781011,4,2.7198239539132816,4,2.719835321688029
6,5,False,5,272.0634877681732,15,7800,21853,265.3146207332611,6.739590883255005,1.0,1.0,1.0,0.8398781524930025,0.1262931814039871,0.1262931814039871,0.6721852245742401,1.0,1.0,False,False,5,108.84356045722961,5,2329,11041,100.68488121032715,6.801062345504761,9,0,0.7426197119694974,0.9951882492023774,0.9509626098733532,0.17938238967713338,1.0,1.0,0.9765883250925128,0.37914261380914666,0.17938238967713338,0.7426197119694974,0.9951882492023774,0.9509626098733532,0.17938175054758265,1.0,1.0,0.9765883250925128,0.37914261380914666,0.17938175054758265,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,1.3752284126177856,6,1.6620926068365867,6,1.6620938850956883
7,5,False,5,260.90647292137146,15,8271,22130,254.15440034866333,6.742353677749634,0.0006410203884444242,1.0,1.0,0.0006410205680550168,0.0004202993456857452,0.0004202993456857452,0.0006413249962573531,0.9995492040877478,0.9999315331807299,False,False,5,87.12427520751953,5,2437,12548,78.83091402053833,6.935096025466919,10,0,0.7378360863408349,0.6201756044472118,0.9907976603305351,0.019502336362309802,1.0,0.08699551282600693,0.8530959791487285,0.9363873995079972,0.020081665587268427,0.7378360863408349,0.6201756044472118,0.9907976603305351,0.019502200292602363,1.0,0.08699551282600693,0.8530959791487285,0.9363873995079972,0.020081457960823113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,3.897236035355872,5,2.3532448807772033,5,2.3532452244733557
8,6,False,5,344.75666642189026,15,11445,24275,338.04774618148804,6.697161912918091,0.0,1.0,1.0,0.0,0.0,0.0,0.4362753755428225,1.0,1.0,False,False,5,100.35243773460388,5,2043,11592,91.98286747932434,6.972625255584717,12,0,0.972244594601616,1.0,1.0,0.0051572160119223165,0.9215668144158857,1.0,0.9336174079240869,0.9215668144158857,0.0051572160119223165,0.972244594601616,1.0,1.0,0.005154642116985498,0.9215668144158857,1.0,0.9336174079240869,0.9215668144158857,0.005154642116985498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,3.4637246244571775,7,1.5896855679761555,7,1.5896907157660292
9,6,False,5,347.9933292865753,15,11190,23795,341.2873270511627,6.69424033164978,0.005499532182524365,1.0,1.0,0.005499532182524365,0.00547388875205629,0.00547388875205629,0.00549959006959555,0.9999532765257809,1.0,True,True,2,52.59481954574585,2,2312,5479,48.47640943527222,2.748588800430298,32,0,0.9880867427848389,1.0,1.0,0.8822535505691713,0.8843194347861025,0.9698846170940543,1.0,0.8822535044226363,0.8843194823771061,0.9880867427848389,1.0,1.0,0.8822535505691708,0.8843194347861025,0.9698846170940543,1.0,0.8822535044226363,0.8843194823771054,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,3.8725535680612433,9,0.0,9,0.0
