ltl_score,prism_probability,evaluation_time,size,goals,obstacles,complexity
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",59.287949085235596,2,3,0,4
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",60.023767948150635,2,3,0,4
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",63.645264863967896,2,3,0,3
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",58.770545959472656,2,3,0,3
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",93.00292611122131,3,3,0,4
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",104.15537118911743,3,3,0,5
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",80.99938154220581,3,3,0,6
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",94.0841772556305,3,3,0,8
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",103.70655655860901,3,3,0,4
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",114.51158499717712,3,3,0,9
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",73.3146014213562,3,3,0,5
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",88.37828135490417,3,3,0,6
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",122.82122087478638,3,3,0,5
