ltl_score,prism_probabilities,evaluation_time,size,goals,obstacles,complexity
0.8970344161169134,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 0.8235293801054687, 'seq_2_before_3': 0.764608284362185, 'complete_sequence': 0.6534884426785931, 'avoid_obstacle': 1.0}",1973.339744091034,2,3,0,5
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",147.92849040031433,2,3,0,4
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",159.7619161605835,2,3,0,4
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",1177.037362575531,3,3,0,8
0.8163516601365924,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 0.6358210673029493, 'seq_2_before_3': 0.6295855732434207, 'complete_sequence': 0.397548294013774, 'avoid_obstacle': 1.0}",2110.2171697616577,3,3,0,10
0.9961236704773888,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 0.9918396402421344, 'seq_2_before_3': 0.9926550416674207, 'complete_sequence': 0.9859023355599922, 'avoid_obstacle': 1.0}",301.6211154460907,4,3,1,9
0.8636774388442726,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 0.8479769307223668, 'seq_2_before_3': 0.6067328246547239, 'complete_sequence': 0.5146388596685944, 'avoid_obstacle': 1.0}",2326.424556493759,4,3,2,16
0.9604737431613565,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 0.8691729746794906, 'seq_2_before_3': 0.9727219979659352, 'complete_sequence': 0.8435711805084551, 'avoid_obstacle': 1.0}",2249.8656656742096,5,3,1,18
0.9908955973906647,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 0.9635823895626587, 'complete_sequence': 0.9635823895626587, 'avoid_obstacle': 1.0}",397.06940841674805,5,3,1,10
1.0,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 1.0, 'complete_sequence': 1.0, 'avoid_obstacle': 1.0}",444.8167726993561,6,3,2,17
0.999941393571885,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 0.9997655742875404, 'seq_2_before_3': 1.0, 'complete_sequence': 0.9997655742875404, 'avoid_obstacle': 1.0}",300.855238199234,6,3,5,13
0.9920508108215917,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 0.9838305188488917, 'seq_2_before_3': 0.9843727244374755, 'complete_sequence': 0.9701137791369562, 'avoid_obstacle': 1.0}",301.90583086013794,6,3,2,15
0.8831639354051003,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 0.20101524839876048, 'seq_1_before_2': 1.0, 'seq_2_before_3': 0.7989839921541478, 'complete_sequence': 0.7989839921541478, 'avoid_obstacle': 1.0}",2993.901818037033,7,3,8,16
0.9966866621653605,"{'goal1': 1.0, 'goal2': 0.9928491838892393, 'goal3': 0.9928776748108286, 'seq_1_before_2': 1.0, 'seq_2_before_3': 0.9915043624280859, 'complete_sequence': 0.9915043624280859, 'avoid_obstacle': 1.0}",378.6589593887329,7,3,10,20
0.9767224451089306,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 0.9985237623272523, 'seq_2_before_3': 0.9083660181084703, 'complete_sequence': 0.9072154400978467, 'avoid_obstacle': 1.0}",1649.3967339992523,8,3,8,29
0.7515451052278745,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 0.3736844405115303, 'seq_2_before_3': 0.632495980399968, 'complete_sequence': 0.23658352846201153, 'avoid_obstacle': 1.0}",3541.6438734531403,8,3,17,24
0.9999022151860172,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 0.9996088607440686, 'complete_sequence': 0.9996088607440686, 'avoid_obstacle': 1.0}",3075.2335135936737,9,3,20,26
0.9787102853458526,"{'goal1': 1.0, 'goal2': 1.0, 'goal3': 1.0, 'seq_1_before_2': 1.0, 'seq_2_before_3': 0.9148411413834103, 'complete_sequence': 0.9148411413834103, 'avoid_obstacle': 1.0}",2456.2387211322784,9,3,12,25
0.5664236147684346,"{'goal1': 1.0, 'goal2': 0.24166984424966692, 'goal3': 0.0449599315184052, 'seq_1_before_2': 0.7930683838877599, 'seq_2_before_3': 0.04374948326328782, 'complete_sequence': 0.03469639709664452, 'avoid_obstacle': 1.0}",3648.480459213257,10,3,22,21
0.8591639775544574,"{'goal1': 0.9130168665565654, 'goal2': 0.9130168665565654, 'goal3': 0.9130168665565654, 'seq_1_before_2': 0.9130168665565654, 'seq_2_before_3': 0.6106221771046986, 'complete_sequence': 0.6106221771046986, 'avoid_obstacle': 1.0}",3445.5938045978546,10,3,17,17
