approach,sample_id,approach,size,complete,attempts,time_s,output_tokens,p_goal1,p_goal2,p_goal3,p_seq_1_before_2,p_seq_2_before_3,p_complete_sequence,p_avoid_moving_seg1,p_avoid_moving_seg2,p_avoid_moving_seg3,met,shortfall,p_best_goal1,p_best_goal2,p_best_goal3,p_best_seq_1_before_2,p_best_seq_2_before_3,p_best_complete_sequence,p_best_avoid_moving_seg1,p_best_avoid_moving_seg2,p_best_avoid_moving_seg3,met_best
legacy,0,legacy,4,True,5,187.14562439918518,5359.0,1.0,0.016731057935606183,1.0,0.9832683122407417,0.0,0.0,0.9813137341900768,0.0,1.0,5,3.083268942064394,,,,,,,,,,
legacy,1,legacy,4,True,5,181.8950159549713,5578.0,1.0,1.0,1.0,0.926777531901418,0.14630084973654053,0.12652882254356174,0.9285359173599638,0.8865475940339153,0.028509994070520128,6,1.9986603336493776,,,,,,,,,,
legacy,2,legacy,4,True,5,182.65166807174683,5381.0,1.0,1.0,0.9914964808192466,0.14661301588083347,0.09786251011232902,0.015091955965800239,0.6073191791037006,0.383179258957116,0.894399783447579,4,2.5499340799802206,,,,,,,,,,
legacy,3,legacy,4,True,5,182.92560124397278,5156.0,1.0,1.0,1.0,0.09962983293346112,0.7153471613835207,0.08744654368603337,0.8066316379202744,1.0,1.0,6,1.4975764619969851,,,,,,,,,,
legacy,4,legacy,5,True,5,584.7592384815216,8127.0,1.0,1.0,0.004175041970079859,0.032618923313056034,0.9958247794091097,0.02986092933466876,0.9908983698327595,0.04907720312088748,0.0,4,3.6842679022613076,,,,,,,,,,
symbolic,0,symbolic,4,True,5,133.6,,1.0,1.0,0.9788,1.0,0.0212,0.0212,0.3465,0.48,1.0,5,2.1311,1.0,1.0,0.9788,1.0,0.0212,0.0212,0.3465,0.48,1.0,5.0
symbolic,1,symbolic,4,True,5,145.3,,0.8579,1.0,0.8459,0.8579,0.1269,0.1269,0.8579,0.8298,0.1421,6,1.9041000000000001,0.8579,1.0,0.8459,0.8579,0.1269,0.1269,0.8579,0.8298,0.1421,6.0
symbolic,2,symbolic,4,True,5,559.7,,0.9454,0.9751,0.9662,0.7987,0.7342,0.6407,0.9176,0.78,0.9747,6,0.22640000000000016,0.9454,0.9751,0.9662,0.7987,0.7342,0.6407,0.9176,0.78,0.9747,6.0
symbolic,3,symbolic,4,False,4,1335.0,,1.0,0.2839,0.0272,0.7161,0.0,0.0,0.4405,0.0,1.0,2,3.9323000000000006,1.0,0.2839,0.0272,0.7161,0.0,0.0,0.4405,0.0,1.0,2.0
symbolic,4,symbolic,5,True,5,767.9,,0.2493,0.962,1.0,0.0678,0.2034,0.0554,0.2493,0.9209,0.7761,4,3.0748,0.2493,0.962,1.0,0.0678,0.2034,0.0554,0.2493,0.9209,0.7761,4.0
