approach,sample_id,approach,size,complete,attempts,time_s,output_tokens,p_goal1,p_goal2,p_goal3,p_seq_1_before_2,p_seq_2_before_3,p_complete_sequence,p_avoid_moving_seg1,p_avoid_moving_seg2,p_avoid_moving_seg3,met,shortfall,p_best_goal1,p_best_goal2,p_best_goal3,p_best_seq_1_before_2,p_best_seq_2_before_3,p_best_complete_sequence,p_best_avoid_moving_seg1,p_best_avoid_moving_seg2,p_best_avoid_moving_seg3,met_best
legacy,0,legacy,4,True,5,187.14562439918518,5359,1.0,0.016731057935606183,1.0,0.9832683122407417,0.0,0.0,0.9813137341900768,0.0,1.0,5,3.083268942064394,,,,,,,,,,
legacy,1,legacy,4,True,5,181.8950159549713,5578,1.0,1.0,1.0,0.926777531901418,0.14630084973654053,0.12652882254356174,0.9285359173599638,0.8865475940339153,0.028509994070520128,6,1.9986603336493776,,,,,,,,,,
legacy,2,legacy,4,True,5,182.65166807174683,5381,1.0,1.0,0.9914964808192466,0.14661301588083347,0.09786251011232902,0.015091955965800239,0.6073191791037006,0.383179258957116,0.894399783447579,4,2.5499340799802206,,,,,,,,,,
legacy,3,legacy,4,True,5,182.92560124397278,5156,1.0,1.0,1.0,0.09962983293346112,0.7153471613835207,0.08744654368603337,0.8066316379202744,1.0,1.0,6,1.4975764619969851,,,,,,,,,,
legacy,4,legacy,5,True,5,584.7592384815216,8127,1.0,1.0,0.004175041970079859,0.032618923313056034,0.9958247794091097,0.02986092933466876,0.9908983698327595,0.04907720312088748,0.0,4,3.6842679022613076,,,,,,,,,,
legacy,5,legacy,5,True,5,598.3134052753448,7939,0.8165773614076905,0.9439561955731393,0.8165768425795557,0.656052727146289,0.5765657625246478,0.46322316779141737,0.8786107368551739,0.6209370287566349,0.9746626518865777,5,0.783221313781011,,,,,,,,,,
legacy,6,legacy,5,True,5,272.0634877681732,7800,1.0,1.0,1.0,0.8398781524930025,0.1262931814039871,0.1262931814039871,0.6721852245742401,1.0,1.0,6,1.3752284126177856,,,,,,,,,,
legacy,7,legacy,5,True,5,260.90647292137146,8271,0.0006410203884444242,1.0,1.0,0.0006410205680550168,0.0004202993456857452,0.0004202993456857452,0.0006413249962573531,0.9995492040877478,0.9999315331807299,4,3.8972360353558715,,,,,,,,,,
legacy,8,legacy,6,True,5,344.75666642189026,11445,0.0,1.0,1.0,0.0,0.0,0.0,0.4362753755428225,1.0,1.0,4,3.4637246244571775,,,,,,,,,,
legacy,9,legacy,6,True,5,347.9933292865753,11190,0.005499532182524365,1.0,1.0,0.005499532182524365,0.00547388875205629,0.00547388875205629,0.00549959006959555,0.9999532765257809,1.0,4,3.872553568061243,,,,,,,,,,
legacy,10,legacy,6,True,5,338.0025670528412,10969,1.0,1.0,1.0,0.664224305949121,0.15750614673637842,0.12296070970820373,0.14043050531832035,1.0,0.9899788508824964,5,2.0148783322879766,,,,,,,,,,
legacy,11,legacy,6,True,5,337.31512093544006,11015,1.0,1.0,1.0,0.7238315265683312,0.017386660844576844,0.012593099405491125,0.9772752871942036,0.5333047656760161,0.8054821708058739,5,1.8128839475055847,,,,,,,,,,
legacy,12,legacy,7,True,5,479.2485930919647,16098,0.02614467375250349,0.022476537881163914,0.002957670675153174,0.02614467375250349,0.02046237561867913,0.02046237561867913,1.0,0.996331877054783,1.0,3,4.681351692701318,,,,,,,,,,
legacy,13,legacy,7,True,5,483.6192126274109,15467,0.03576861424544387,0.10734289295480101,0.02486391526581454,0.009143343126642944,0.007056305360338057,0.0018037730105788358,0.9967713403341665,0.9756316915610496,0.9897848861395856,3,4.614021156036381,,,,,,,,,,
legacy,14,legacy,7,True,5,493.3765034675598,16051,1.0,0.39559117683310885,0.0,0.6044085039780877,0.0,0.0,0.7232722861149307,1.0,1.0,4,3.0000003191888034,,,,,,,,,,
legacy,15,legacy,7,True,5,493.60994482040405,15794,0.0,0.008125247716914913,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3,4.791874752283085,,,,,,,,,,
legacy,16,legacy,8,True,5,620.741082906723,20909,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0.8,,,,,,,,,,
legacy,17,legacy,8,True,5,625.385472536087,19768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,5.5,,,,,,,,,,
legacy,18,legacy,8,True,5,641.5519576072693,20546,0.009136636383031601,0.016722695644158046,0.11915985707089706,0.005029902920697849,1.4586694412013458e-06,1.2686790839182158e-06,0.9992219825314338,0.9994241089725464,0.9999964954119749,3,4.64994818063269,,,,,,,,,,
legacy,19,legacy,8,True,5,642.290009021759,20132,0.0034108668799809503,0.028209379166195883,0.28338742563847774,0.0025581587236932412,0.0,0.0,0.004138957630459017,0.9965891331200191,1.0,2,5.178295211961193,,,,,,,,,,
symbolic,0,symbolic,4,True,5,190.1171112060547,7611,0.8659919122108953,0.6562802076672758,0.8633952964536057,0.8659919057819748,0.02026750753224016,0.02026750753224016,0.9934065634191087,0.5113434780767149,0.9962741202736285,5,1.8918412991915292,0.8659919122108953,0.6562802076672758,0.8633952964536057,0.8659919057819748,0.02026652343693104,0.02026652343693104,0.9934065634191087,0.5113434780767149,0.9962741202736285,5.0
symbolic,1,symbolic,4,True,5,288.69492864608765,6748,1.0,1.0,1.0,0.9249736748675291,0.1483641608833155,0.12874212670058094,0.9148764584276972,0.8830028862667457,0.012730811190506008,6,2.0101629012255975,1.0,1.0,1.0,0.9249736748675291,0.14836315436418518,0.1287416761877508,0.9148764584276972,0.8830028862667457,0.012730811190506008,6.0
symbolic,2,symbolic,4,True,5,183.91370487213135,5596,1.0,1.0,1.0,0.09677393657789982,0.708573091791925,0.09536688245985081,0.6790585475340298,0.8303633271482176,0.8989182377875877,5,1.5202275416362947,1.0,1.0,1.0,0.09677393657789982,0.7085730749270645,0.09536688044881741,0.6790585475340298,0.8303633271482176,0.8989182377875877,5.0
symbolic,3,symbolic,4,True,5,164.80820488929749,3948,1.0,0.9608577084907336,1.0,0.04018886074561034,0.00041938416934816924,0.00033386461239026666,0.8238031239194061,1.0,1.0,6,2.359057890472651,1.0,0.9608577084907336,1.0,0.04018886074561034,0.00041303751551795547,0.00032817446751544127,0.8238031239194061,1.0,1.0,6.0
symbolic,4,symbolic,5,True,5,179.97270274162292,6150,1.0,1.0,1.0,0.773133487022538,0.949012198365195,0.7723149595023131,0.9314748543028624,1.0,0.00027397715114751975,6,0.7542775763240014,1.0,1.0,1.0,0.8298995294285729,0.9941750451520912,0.8242519533257345,0.9750094830552956,1.0,0.5295758561872306,8.0
symbolic,5,symbolic,5,True,5,164.39980268478394,5424,1.0,1.0,1.0,0.18185439291418157,0.08693958608579111,0.003169177739514528,0.7218641465078416,0.12652191271524516,0.681690976631986,4,2.7198239539132816,1.0,1.0,1.0,0.18185439291418157,0.08692823836590333,0.0031691576846548768,0.7218641465078416,0.12652191271524516,0.681690976631986,4.0
